Video ID,Channel Name,Title,Published At,Duration,View Count,Like Count,Comment Count,Tags Count
iGeXGdYE7UE,Marques Brownlee,Macbook Neo Review: Better than you Think!,2026-03-10T23:40:30Z,PT12M53S,5882793,155343,7790,0
yWI33R4xyIc,Marques Brownlee,Apple Studio Display XDR Review: We're All Pros Now!,2026-03-09T20:01:01Z,PT10M42S,2045710,55422,2769,9
nfHRMqqO578,Marques Brownlee,Samsung Galaxy S26 Ultra Review: There's a Catch,2026-03-06T20:14:58Z,PT12M36S,4015422,111930,6446,6
kBX5WH9b4M4,Marques Brownlee,Macbook Neo Impressions: Reincarnated!,2026-03-04T22:26:34Z,PT8M48S,7351775,197812,11224,0
wRaDbRjVrc4,Marques Brownlee,Samsung Galaxy Buds 4 Pro Review: Better than AirPods!,2026-02-28T22:55:15Z,PT8M51S,2690140,83141,3741,0
eGKYiPA1wio,Marques Brownlee,God Tier Stabilization,2026-02-26T17:00:39Z,PT52S,6818012,286834,5669,0
McE6el9mn_I,Marques Brownlee,Samsung's Secret Screen Feature,2026-02-25T21:38:47Z,PT44S,12396560,594379,10134,0
FRI78tq9Eik,Marques Brownlee,Samsung Galaxy S26/Ultra Impressions: 1 Crazy Display Feature!,2026-02-25T18:00:45Z,PT9M10S,4426342,132585,8146,0
iCSg_ul3G2w,Marques Brownlee,Google Pixel 10A Impressions: (Never) Seen This Before,2026-02-18T15:00:48Z,PT8M31S,3549116,91718,6070,5
zPAY2VxfFBk,Marques Brownlee,The Problem with these Smartphone Batteries,2026-02-06T21:03:37Z,PT8M32S,2314916,88371,6447,3
Qr4anBkL2_A,Marques Brownlee,This is NOT an iPhone,2026-01-30T19:34:19Z,PT1M8S,5346016,160255,3753,0
LXmNeVLM4e4,Marques Brownlee,PSA: You look like this,2026-01-27T17:36:20Z,PT28S,5634786,138057,1687,5
ip0W9lCXpio,Unbox Therapy,The Snapdragon Multi-Day Battery Laptop,2026-08-24T16:16:23Z,PT1M41S,273875,1676,27,0
F2uHTrbQQVE,Unbox Therapy,This Limited Edition Unboxing is 🥶...,2026-08-22T15:12:34Z,PT2M23S,292840,3258,57,0
b0x8sFBJr7Q,Unbox Therapy,World’s Lightest 17” Laptop With RTX...,2026-08-20T17:06:18Z,PT51S,1827060,2159,25,12
SUA2xGy-beg,Unbox Therapy,"They Call it Your ""SecondBrain""",2026-08-18T14:54:12Z,PT1M47S,791526,2449,57,12
5eEjWmsoB7w,Unbox Therapy,The New Insta360 Is Here...,2026-08-17T14:00:32Z,PT1M54S,2035730,4245,46,0
8Ddp5WaMp_8,Unbox Therapy,New Ninja Water Gadget,2026-08-13T17:52:31Z,PT1M49S,1505346,3228,94,12
Pti27NIzuIg,Unbox Therapy,Listen To This...(SOUND ON),2026-08-12T17:27:42Z,PT51S,1584921,2464,23,0
7imHGvEtaBw,Unbox Therapy,You Won’t Believe What This Sounds Like...,2026-08-11T15:35:11Z,PT10M9S,925227,1423,55,12
zZ1hKRuhEVs,Unbox Therapy,This is Beyond just Gaming...,2026-08-06T15:49:36Z,PT8M18S,1008805,2030,149,12
uqOnifh9Y0o,Unbox Therapy,Which is the Ultimate Pocket Cam? (DJI Osmo Pocket 4 vs DJI Osmo Pocket 4P),2026-07-30T15:41:25Z,PT8M34S,990324,2392,150,12
O7PY0dhgL4k,Unbox Therapy,My new ride... @StruttOfficial,2026-07-25T15:31:45Z,PT3M,1017283,5566,80,0
Fb-LhTI9evA,Unbox Therapy,The Lord of the Rings 25th Anniversary Giveaway,2026-07-24T17:15:07Z,PT2M33S,1753730,6800,35,12
LdaOLVkZ-A8,Unbox Therapy,Supersized Upgrade for Otis...,2026-07-23T15:37:41Z,PT1M32S,1663588,6689,38,12
Lgwa3Ze0tv4,Unbox Therapy,"Every Color of The New Samsung Galaxy Z Fold 8 Ultra, Fold 8 & Flip 8",2026-07-22T12:59:44Z,PT23M49S,1016986,8494,749,12
PgJetYFtmjw,Unbox Therapy,World’s Lightest 17” Laptop With RTX...,2026-07-21T15:55:20Z,PT10M26S,973828,2213,113,12
6vODtPf6Ybg,Unbox Therapy,Unboxing The New LG UltraGear Lineup,2026-07-14T15:33:25Z,PT8M3S,1026500,2157,138,12
nqQO7uJK5aU,Unbox Therapy,Want to Build Your Own Product?,2026-07-03T15:15:44Z,PT2M16S,2026627,7665,22,12
HTD4pKdvmlw,Unbox Therapy,These Smart Glasses Remember Everything...,2026-06-28T16:09:08Z,PT8M27S,942113,1804,115,12
mcvqC-wpK_E,Unbox Therapy,The Tri-Screen Laptop is Finally Here,2026-06-26T15:56:30Z,PT9M58S,1145345,4119,317,12
oZGsZj0_9v4,Unbox Therapy,The World's Most Adjustable Chair,2026-06-24T16:01:45Z,PT1M25S,1737722,35451,126,12
btK-OGp11As,Unbox Therapy,The Impossible Earbuds,2026-06-23T18:21:35Z,PT2M19S,1249258,13920,46,0
rx22lIBrt6U,Unbox Therapy,Massive Battery Budget Price…,2026-06-18T16:55:27Z,PT9M38S,973455,2466,333,12
aivfuNTQgoY,Unbox Therapy,WOZOYO…,2026-06-17T17:10:58Z,PT1M44S,1079928,5993,50,0
1zTII0IAOOs,Unbox Therapy,Designed for Sleeping… 😴,2026-06-13T16:00:37Z,PT1M49S,1608566,8567,88,0
md3DMGwoVAY,Unbox Therapy,The New Battery Monster from TECNO...,2026-06-12T14:27:56Z,PT1M23S,1045067,19977,123,0
nVs_PxzbO4U,Unbox Therapy,SEGA on QD-OLED,2026-06-05T17:57:50Z,PT10M,1220057,2730,169,12
YuiLMyi_v7o,Unbox Therapy,The Most Powerful Smartphone of 2026,2026-06-04T16:32:04Z,PT7M47S,1399461,10681,594,12
ypXtEM1c_RA,Unbox Therapy,There’s a Robot for Everything in 2026... 🤖🐶,2026-06-03T16:16:48Z,PT2M20S,999104,19198,66,0
q0zgiakPogg,Unbox Therapy,Every Creator Wants This Camera...,2026-06-01T16:11:47Z,PT11M,1952812,5050,294,12
7zs2eQ_QIYA,Unbox Therapy,Optimize Your Listening Experience,2026-05-29T16:56:01Z,PT1M19S,1198068,7493,26,12
q0uvpCCfLnk,Unbox Therapy,Unboxing the XGIMI Titan Noir MAX...,2026-05-28T15:56:41Z,PT10M56S,1284690,3455,156,12
1Rp4RYqy1Qg,Unbox Therapy,I bought a new Laptop...,2026-05-26T16:58:38Z,PT12M42S,1335072,4558,233,48
GSoYZxQ1hds,Unbox Therapy,New OLED Tech... For Gamers,2026-05-21T16:16:11Z,PT1M22S,982984,21326,74,25
gmtb6FDlZRk,Unbox Therapy,Have You Ever Seen One of These?,2026-05-19T16:35:46Z,PT1M34S,1536417,41957,197,0
D0MAFX-kFNI,Unbox Therapy,How Many Speakers Is Too Many?,2026-05-14T16:07:24Z,PT1M18S,1029722,6644,26,15
wnN9IK8SVP4,Unbox Therapy,Optimize Your Sleep Game,2026-05-08T16:18:28Z,PT1M43S,1580124,3324,15,12
WyA-QfY-RxM,Unbox Therapy,iPhone ULTRA Fold early look. Go check the channel for full video.,2026-05-07T18:42:49Z,PT14S,1557780,6523,360,0
khefl5hYouM,Unbox Therapy,iPhone Fold ULTRA (Apple's Folding iPhone) Early Look,2026-05-07T17:41:12Z,PT10M1S,1261293,13735,1344,37
S19NVJNr3Xk,Unbox Therapy,iPhone ULTRA Fold Early Hands On...,2026-05-04T16:38:12Z,PT9M50S,1427535,22891,2223,37
BDfd2oCB9FQ,Unbox Therapy,The Most Convincing Art I've Seen...,2026-05-02T16:05:58Z,PT1M32S,2207016,13031,342,12
fds1Uq7gsWA,Unbox Therapy,DJI Keeps Going…,2026-05-01T14:55:47Z,PT1M25S,1026288,16801,65,0
HbmTQy73K4M,Unbox Therapy,This Does the Work for you...,2026-04-29T16:49:31Z,PT1M24S,1448236,17057,45,12
lKxc5Kp9Sgw,Unbox Therapy,Meet The New DJI Lito & Lito X1 Drone...,2026-04-24T16:34:30Z,PT1M19S,1425148,5902,81,0
1KIYmbIjEg0,Unbox Therapy,This Design Shouldn’t Exist...,2026-04-22T17:15:21Z,PT1M22S,2152223,11933,137,0
10bU6G8hW-c,Unbox Therapy,The Ultimate Smartphone Camera Test,2026-04-21T17:35:35Z,PT1M1S,1138268,8057,107,12
N6TgGwNxvCw,Unbox Therapy,OPPO Find X9 Ultra Ultimate Smartphone Camera Test,2026-04-21T17:27:28Z,PT8M59S,1528490,8933,523,12
ia0DPXibgeY,Unbox Therapy,World's Smallest 1kWh Battery...,2026-04-20T16:11:18Z,PT1M35S,5148755,26541,121,0
_wipL811nDM,Unbox Therapy,All-in-One Solution for Apple with @NOCO,2026-04-19T14:15:23Z,PT1M34S,1073275,18420,47,0
-xtCx4GZ0gQ,Unbox Therapy,The New DJI OSMO Pocket 4 is Here,2026-04-16T18:20:20Z,PT1M32S,1214895,27486,186,0
ivXY9b33X4w,Unbox Therapy,"No space, no problem… @TransformerTable",2026-04-14T15:49:21Z,PT1M13S,2377724,10702,127,0
ZWCAXHNOIcA,Linus Tech Tips,The Most Shockingly Affordable Upgrade I've Seen in YEARS,2026-08-24T17:08:01Z,PT24M4S,326333,12506,756,28
DXK-F0SjC_E,Linus Tech Tips,I put the NEWEST CPU in the OLDEST Motherboard,2026-08-22T17:00:02Z,PT13M48S,829805,27492,1625,20
04MFcE-ntxQ,Linus Tech Tips,Creators Share Embarrassing Stories of Linus,2026-08-21T16:51:24Z,PT54S,541415,13200,159,0
QfCW5bXvwII,Linus Tech Tips,Pranking Linus for his 40th Birthday,2026-08-20T18:10:26Z,PT29S,1265983,32039,473,0
36oL-7C_qR4,Linus Tech Tips,There’s NO Excuse Not To Try Linux!,2026-08-20T16:54:26Z,PT18M,693844,30851,4222,0
AHP423JqiLc,Linus Tech Tips,$5 vs $500 Guitar Hero Controller!,2026-08-19T17:00:11Z,PT23M44S,297623,12602,1097,27
vzg5cv785j4,Linus Tech Tips,What’s the Most Cost Effective Tech Upgrades,2026-08-18T22:39:01Z,PT50S,214849,6264,174,0
MQeJYEN_lrg,Linus Tech Tips,This DIY Datacenter is NUTS - Hetzner Tour,2026-08-17T17:16:01Z,PT21M40S,1150850,48959,2365,0
ea3EvwkW_28,Linus Tech Tips,Legends Never Die,2026-08-15T17:00:34Z,PT11M20S,790094,27229,2875,22
J261Rg0LTDA,Linus Tech Tips,"""Pro"" phones are stupid - PIxel 11 Announcement",2026-08-13T08:19:30Z,PT11M3S,689119,20202,1944,12
ofNcSiFpDUk,Linus Tech Tips,Tech Russian Roulette with True or False Questions!,2026-08-11T18:08:30Z,PT51S,524654,10957,93,0
rbQtX_thQtQ,Linus Tech Tips,It Shouldn’t be this Hard to Buy A Printer…,2026-08-11T16:56:25Z,PT19M39S,1649181,50819,5245,0
NWoT1ZVd1Lo,Linus Tech Tips,"Her phone died, so I'm making her fix it",2026-08-09T17:00:02Z,PT18M16S,1088389,44500,2466,17
XiSMWonFuQQ,Linus Tech Tips,Rating Every Version of Windows,2026-08-08T17:13:04Z,PT28M58S,945411,36116,5805,17
1Z5bbuLPwX4,Linus Tech Tips,YouTuber Merch Tier List,2026-08-05T22:48:26Z,PT52S,618385,15724,117,0
ijUCl9w95vg,Linus Tech Tips,Youtuber Products Tier List,2026-08-05T17:07:36Z,PT22M38S,825162,27354,1588,28
ElhkWZdPDEc,Linus Tech Tips,First Person to Say Hi Wins NEW Screwdriver,2026-08-04T21:10:13Z,PT30S,2211375,52763,365,0
1oIyk13JwQM,Linus Tech Tips,Does Linux use less RAM?,2026-08-03T17:00:12Z,PT13M48S,985524,42232,5329,21
t6MAZW-joCo,Linus Tech Tips,I Followed ChatGPT’s PC Build Guide (2026),2026-08-02T17:00:04Z,PT35M7S,1650785,52167,5292,30
L0ViytO-560,Linus Tech Tips,The Tech House Needs a Workshop…,2026-07-30T17:38:23Z,PT21M26S,770584,29379,1004,24
sd4v2N7HUyk,Linus Tech Tips,This Obsoleted Every 3D Printer I Own,2026-07-29T18:45:04Z,PT13M8S,936416,28342,1694,25
JQb9eGeclQw,Linus Tech Tips,I Could Cry Over the Framework Pro 13,2026-07-27T15:00:11Z,PT11M39S,1331133,47446,2340,16
GJdyoJcZsuo,Linus Tech Tips,He Thought His Internet was OK... IT'S NOT!,2026-07-26T16:57:56Z,PT22M51S,1121935,36010,1677,11
CjIwXfw8ffU,Linus Tech Tips,It Took Me 6 Years to Make This,2026-07-24T17:00:10Z,PT11M37S,441960,19466,2653,14
YLSx6-pBXOM,Linus Tech Tips,This Took 6 Years to Make,2026-07-24T16:57:18Z,PT35S,2270771,54767,1040,0
Hfovjw7Ts_U,Linus Tech Tips,"If My Product Fails I Give Away $1,000 - Open Sauce 2026",2026-07-23T18:43:38Z,PT24M18S,810887,33033,1252,32
-_zeSKjtMEg,Linus Tech Tips,When Should You Change Thermal Paste?,2026-07-23T18:05:19Z,PT57S,273355,9512,171,0
5fXAELrljqs,Linus Tech Tips,Valve Accidentally Made the Best Desktop PC I’ve Ever Used,2026-07-22T18:18:57Z,PT15M26S,2593177,78991,7031,17
Ute2wSwml4o,Linus Tech Tips,The Best Wii Remote EVER!,2026-07-21T01:01:05Z,PT27S,550351,11490,111,0
QAA7b1Av0jM,Linus Tech Tips,"This Upgrade is Dangerous - AMD $5,000 Ultimate Tech Upgrade",2026-07-20T17:40:16Z,PT25M35S,988011,36108,1233,16
zIgmgMLZrrc,Linus Tech Tips,True 4k Gaming PC (2026) - Classic LTT Build Guide,2026-07-19T17:00:34Z,PT20M6S,798194,26270,1734,0
qZ7OjpjGVGs,Linus Tech Tips,It’s Time to Commit to Linux…But which one?,2026-07-18T16:56:52Z,PT9M41S,1055130,40516,4178,0
nt4eQU7MG9c,Linus Tech Tips,My biggest Home Theater Upgrade is NOT Expensive,2026-07-16T17:00:12Z,PT24M50S,1185033,38679,1560,19
VRpP4_lKjEc,Linus Tech Tips,Daily Driving the Steam Machine,2026-07-15T16:00:38Z,PT40S,2138228,70525,1259,0
aAOgZ6cjrio,Linus Tech Tips,The GOD-KING of TVs - Sony TrueRGB 115”,2026-07-14T17:00:11Z,PT22M38S,1358947,36633,2631,30
s9igt2i91q0,Linus Tech Tips,$1000 to $4000 Laptop - Snapdragon Edition,2026-07-13T20:27:31Z,PT51S,140850,3689,96,0
b2vI8IjSWxY,Linus Tech Tips,How many Tabs with 1.5 TB of RAM? Windows VS. Linux,2026-07-12T17:00:18Z,PT22M36S,976974,35128,2582,30
X6Cbt3Ro6u8,Linus Tech Tips,I Needed Some Professional Help - Film Scanning with Brandon Lee,2026-07-11T17:00:03Z,PT18M5S,524174,19842,944,19
Nd-8lUUmMjA,Linus Tech Tips,We Got The Trump Phone!,2026-07-09T21:30:38Z,PT57S,2163929,57685,1294,0
5xN7ndof4Xc,Linus Tech Tips,Why Is Everyone Buying This $200 TV?,2026-07-09T17:00:26Z,PT15M48S,1712245,37257,3141,30
Z1zDUDvOezo,Linus Tech Tips,I IMMEDIATELY Broke this Hyper-Realistic Gaming Sim,2026-07-08T16:54:02Z,PT15M42S,1035170,35705,1573,11
m0F9Ar35WrA,Linus Tech Tips,Swimming Against Man-Made Waves,2026-07-06T17:45:47Z,PT30S,295191,4566,83,0
S82W3hWDvZA,Linus Tech Tips,I Hate These...,2026-07-06T16:53:00Z,PT24M41S,1458478,49604,2490,0
VEaI8OUcMvM,Linus Tech Tips,The 1000 FPS Gaming PC,2026-07-04T16:58:46Z,PT20M6S,2207329,66150,2698,19
ryqF6ECSoBA,Linus Tech Tips,Sony Announces End of Physical Discs,2026-07-03T20:45:14Z,PT59S,1997179,63471,3810,0
AQZl-78pnEQ,Linus Tech Tips,Tech House Cabling Ended Up Being a HARD Choice,2026-07-02T16:56:30Z,PT23M53S,1732424,59514,6493,13
NLI-Z9Xt4Hg,Linus Tech Tips,$1000 vs $5000 Laptop - Snapdragon Edition,2026-07-01T16:55:49Z,PT18M9S,490302,17580,1129,26
9Pt1uZPL4Ew,Linus Tech Tips,My Wife Needs a New Laptop,2026-06-29T16:59:13Z,PT23M57S,2115890,70835,5701,0
Ro6RIKgs2mw,Linus Tech Tips,4 Tech Experts Debate PC Questions!,2026-06-28T16:55:09Z,PT24M34S,668175,29521,3867,12
o4ub_WOWFoo,Linus Tech Tips,"I Love The Steam Machine More Already - WAN Show June 26, 2026",2026-06-27T03:49:54Z,PT3H53M45S,541048,6935,964,14
vguVJLmb5zw,Technical Guruji,Google Pixel 11 Pro Fold Unboxing & First Look - A PRO Fold Experience?🔥🔥🔥,2026-08-24T12:42:37Z,PT16M14S,50456,1610,91,28
vuvvVU4AlaM,Technical Guruji,iPhone 18 Pro Max Giveaway? | JBL Vs Marshall? | Fairphone 6+? | STM #504 | Technical Guruji🔥🔥🔥,2026-08-23T13:05:24Z,PT15M6S,34024,1422,317,32
oq0i2LAhxww,Technical Guruji,BGMI Lite Launch | Huawei PURA X View | iPhone Duo? | Buds Neo? | Episode 213 | Technical Guruji🔥🔥🔥,2026-08-22T12:41:35Z,PT11M24S,28255,1328,70,33
aJ7dEmaoK3Q,Technical Guruji,Technologiaaaa...#HonorRobotPhone #TGFamily #Shorts 🔥 🔥 🔥,2026-08-21T13:31:26Z,PT12S,1560979,24852,223,0
gw6tzzYIU6E,Technical Guruji,Google Pixel 11 Is The Best Pixel?🔥🔥🔥,2026-08-20T11:35:04Z,PT11M1S,96179,2692,155,27
8c9BN20tExQ,Technical Guruji,Google Pixel 11 Pro & Pro XL Unboxing & First Look - A Refined Experience!🔥🔥🔥,2026-08-19T16:00:23Z,PT14M19S,194725,5159,236,25
BTNdXtlw_6M,Technical Guruji,Sony LinkBuds Clip Unboxing & First Look - A Fresh Experience!🔥🔥🔥,2026-08-18T14:00:20Z,PT8M22S,34229,1178,57,29
Hlfg6njOYRE,Technical Guruji,Smartphone Price Increase - The Situation Is Really Bad!🔥🔥🔥,2026-08-17T13:28:13Z,PT10M17S,160959,4828,592,26
_TfpeFlUq1E,Technical Guruji,iPhone 18 Ultra Giveaway? | Student Protest? | All-Rounder Phone? | STM #503 | Technical Guruji🔥🔥🔥,2026-08-16T16:05:29Z,PT14M11S,24487,1209,211,32
6NCkbBwoLQs,Technical Guruji,iPhone XX Details | Google Pixel 11 India | GTA 6 | iPhone Duo? | Episode 212 | Technical Guruji🔥🔥🔥,2026-08-15T15:25:26Z,PT10M14S,58672,1688,80,32
Fb0iXVQOFw8,Technical Guruji,World's Smallest Camera - Best Retro Vibes!🔥🔥🔥,2026-08-14T14:12:18Z,PT7M39S,23476,936,56,27
PrZvLxaXFKU,Technical Guruji,Best Smartphone Buying Guide 2026!🔥🔥🔥,2026-08-13T11:38:16Z,PT12M24S,142027,4744,317,28
OCx5pKMFN0Y,Technical Guruji,"realme 16x Unboxing & First Look - Best Under ₹25,000?🔥🔥🔥",2026-08-12T12:58:33Z,PT9M7S,51780,1618,140,25
fgFNOya9FLs,Technical Guruji,"The latest #realme16x5G is the best all-rounder under ₹25,000! #TGFamily #Shorts 🔥 🔥 🔥",2026-08-12T10:56:00Z,PT1M41S,51604,1758,65,0
9lKr75sgWkM,Technical Guruji,Satellite Phones Are The Future!🔥🔥🔥,2026-08-11T14:04:47Z,PT8M6S,88931,2553,99,25
qTzd_p7W9OM,Technical Guruji,OnePlus N6X Unboxing & First Look - New Budget OnePlus?🔥🔥🔥,2026-08-10T12:49:54Z,PT9M,91502,2561,182,27
T1ERIHK1tSQ,Technical Guruji,iPhone 18 Series Price? | Future Of AI? | Social Media Time Waste? | STM #502 | Technical Guruji🔥🔥🔥,2026-08-09T12:07:46Z,PT12M56S,67618,1717,108,32
UhvQNCJU9XQ,Technical Guruji,iPhone XX Features | Google Pixel 11 | CMF Clip Pro | Whatsapp? | Episode 211 | Technical Guruji🔥🔥🔥,2026-08-08T15:16:01Z,PT9M40S,48170,1674,61,32
vbKY5EltMgk,Technical Guruji,Samsung Galaxy Z Fold8 Vs Z Fold8 Ultra - My Favorite?🔥🔥🔥,2026-08-07T13:40:35Z,PT7M50S,70416,1512,110,23
4hDoo7MspH8,Technical Guruji,The DARK Reality Of Internet?🔥🔥🔥,2026-08-06T13:21:59Z,PT8M29S,17529,1221,79,28
GstPI93N5aM,Technical Guruji,Galaxy Watch Ultra 2 Is A Game Changer!🔥🔥🔥,2026-08-05T13:36:08Z,PT10M27S,60539,1652,54,25
teQ-XozYKAc,Technical Guruji,vivo X Fold6 Unboxing & First Look - Flagship Folding Smartphone?🔥🔥🔥,2026-08-04T10:50:30Z,PT12M25S,66064,2080,72,24
wDjIgzCbR_0,Technical Guruji,Galaxy F70 Pro 5G Unboxing & First Look - Best In Budget?🔥🔥🔥,2026-08-03T11:30:35Z,PT7M2S,200201,4725,252,26
3q0zCkDJBLc,Technical Guruji,Quad Curved iPhone XX? | Foldable Phones? | Whatsapp Channel? | STM #501 | Technical Guruji🔥🔥🔥,2026-08-02T12:26:25Z,PT13M48S,17932,876,76,32
9vu5qMoNjzI,Technical Guruji,Nothing Smartwatch | vivo S2 | iPhone Ultra Delay? | S27 Ultra? | Episode 210 | Technical Guruji🔥🔥🔥,2026-08-01T17:26:47Z,PT8M10S,31883,1332,57,32
IDjGiNa7XAU,Technical Guruji,Top Upcoming Smartphones - August 2026🔥🔥🔥,2026-07-31T13:08:14Z,PT5M8S,135925,2643,162,36
vDeIUWPGAvQ,Technical Guruji,Samsung Z Flip8 Unboxing & First Look - Compact Powerhouse!🔥🔥🔥,2026-07-30T06:30:00Z,PT10M42S,61846,1694,84,26
AUf-nUvFpfI,Technical Guruji,Samsung Galaxy Z Fold8 Ultra Unboxing - Ultimate ULTRA In Fold!🔥🔥🔥,2026-07-29T06:30:32Z,PT14M9S,115366,2504,102,24
BET7QlCMWEQ,Technical Guruji,The #Samsung #GalaxyZFold8 in a #NewShape with #GalaxyAI is here...#TGFamily #shorts 🔥🔥🔥,2026-07-28T12:49:09Z,PT2M4S,98395,3674,68,0
oeIZozqPsj4,Technical Guruji,Galaxy Z Fold8 Unboxing & First Look - Best Fold Experience!🔥🔥🔥,2026-07-27T06:30:16Z,PT15M22S,90375,2514,173,27
0lAOuUvufWY,Technical Guruji,Galaxy Unpacked Experience | Apple Review Unit | Smartphone Price? | STM #500 | Technical Guruji🔥🔥🔥,2026-07-26T14:03:57Z,PT18M8S,25686,1131,107,32
